"tweet_id","user_username","text","author_id","possibly_sensitive","lang","created_at","conversation_id","in_reply_to_user_id","user_profile_image_url","user_name","user_created_at","user_verified","user_protected","user_description","user_pinned_tweet_id","user_location","user_url","retweet_count","like_count","quote_count","user_tweet_count","user_list_count","user_followers_count","user_following_count","sourcetweet_type","sourcetweet_id","sourcetweet_text","sourcetweet_lang","sourcetweet_author_id","extracted_hashtags","tagged"
1455014240251793408,"psb_dc","neurodiversity in technology be business miss out on key talent via",2908107542,FALSE,"en","2021-11-01T03:30:02.000Z",1455014240251793408,NA,"https://pbs.twimg.com/profile_images/1208067259287179264/AzFGeUdo_normal.jpg","Theodora (Theo) Lau - 劉䂀曼 🌻","2014-11-23T12:24:58.000Z",FALSE,FALSE,"Founder @UnconventionVc | 📚 Author — Beyond Good 🛒 https://t.co/BFQrcH2e48 | #OneVision Podcast | Advisor | Speaker | #Fintech | #AI | Longevity | #BeyondGood",1643953822828576768,"Washington, DC","https://t.co/wIg6PCSWGq",4,10,0,192795,2266,62230,7261,"999",NA,NA,NA,NA,"#fintech #finserv #neurodiversity","@techcrunch @gildeatracie"
1454994134595424256,"selfimprovment","neurodiversity in technology be business miss out on key talent",82741112,FALSE,"en","2021-11-01T02:10:08.000Z",1454994134595424256,NA,"https://pbs.twimg.com/profile_images/1389049179/fleurviolette_normal.jpg","Personal Development","2009-10-15T23:21:44.000Z",FALSE,FALSE,"Musician, drawer, Tarot reader, entrepreneur, healer.",1520174530697826304,"France","https://t.co/nRM64DDbH5",1,3,0,57016,86,4924,4353,"999",NA,NA,NA,NA,"#personalgrowth #goals #motivation #success #motivational #loa #selfdevelopment #wellbeing #joy",""
1454993206572027904,"TheDescenters","i have finish up the manuscript on a full length sci fi novella that explore this concept in much detail too it be out for publication atm but i be not_sure who will end up take it or when it be gonna be release much of my sci fi tackle neurodiversity disability too",2302470661,FALSE,"en","2021-11-01T02:06:27.000Z",1454985977701625856,2302470661,"https://pbs.twimg.com/profile_images/841637105126191106/_F-4cNRn_normal.jpg","Mx Maddison Stoff","2014-01-21T04:10:50.000Z",FALSE,FALSE,"Nb, nd, polyam space dyke. She/her pronouns. Lives in Melbourne, but originally from regional Australia. Likes post-punk, sci-fi, philosophy, & computer games.",1290203990836146176,"Melbourne","https://t.co/8K4uK2wiSm",0,1,0,47943,14,1412,2914,"999",NA,NA,NA,NA,"",""
1454991743577772032,"kristincolino","check out stanford neurodiversity summit",90993906,FALSE,"en","2021-11-01T02:00:38.000Z",1454991743577772032,NA,"https://pbs.twimg.com/profile_images/1538268550170673153/_ko1gY5w_normal.jpg","Kristin Colino","2009-11-19T00:14:54.000Z",FALSE,FALSE,"Past President, @DBSAcali, Peer Program Coordinator @NAMISantaClara, Nonprofit Management, Mental Health Advocate/Mentor, Christian Writer/Blogger",1630744835585110016,"San Jose, California","https://t.co/dAD6eTXe0g",0,0,0,844,4,140,364,"999",NA,NA,NA,NA,"","@eventbrite"
1454984437846921216,"BeyondTheDoorTO","happy not_so scary halloween from us at beyond the door",1173651271561162752,FALSE,"en","2021-11-01T01:31:36.000Z",1454984437846921216,NA,"https://pbs.twimg.com/profile_images/1173651726508986368/Lu0xCpFy_normal.jpg","Beyond The Door","2019-09-16T17:34:29.000Z",FALSE,FALSE,"Beyond the Door Behaviour Associates (BTD) is committed to helping children living Autism through 1:1 hands-on service since 2006",1469304066673106944,"Toronto, Ontario","https://t.co/YuzVLTZUgA",0,1,0,4284,1,150,179,"999",NA,NA,NA,NA,"#halloween2021 #autism #asd #autismontario #autismspectrum #bethechange #neurodiversity #endthestigma","@autismspeakscan @autismont @autismcanada @geneva_centre @autism @amhawareness @spectrum @ontspecialneeds @ontaba1"
1454974946657062912,"Disabilitysaus1","october be national disability employment awareness month and global diversity awareness month do u know neurodiversity be just begin to tiptoe into this conversation",1367328633342337024,FALSE,"en","2021-11-01T00:53:54.000Z",1454974946657062912,NA,"https://pbs.twimg.com/profile_images/1455946229242896390/QdomGeAk_normal.jpg","@Disability Sausage Media DSM","2021-03-04T04:19:18.000Z",FALSE,FALSE,"Founder DSM, Inclusive communication specialist, humanitarian technical advisor changing narrative on disability  through media & digital accessibility  tester",NA,NA,NA,1,4,0,2708,0,881,437,"999",NA,NA,NA,NA,"","@alicemundia @andyspeaks4 @actionetwork @rizikisource @i2iaid @lcimpact @cbm_global @cdpokconsortium"
1454971281581953024,"AlbatrossOCD","i be neurodiverse myself and be a teacher previously and so i can not_agree much all professional involve with child should be educate fully on neurodiversity it be crucial x",1449451150068092928,FALSE,"en","2021-11-01T00:39:20.000Z",1454895777596256256,177967577,"https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","Albatross | Mental Health | OCD Short Film","2021-10-16T19:04:32.000Z",FALSE,FALSE,"Logline: A glimpse into the realities of a life filled with compulsions & pain.

#MentalHealth #OCD #Agoraphobia #shortfilm by @AiyshaJebali & @heart_clockwork",1451921041228500992,"Scotland, United Kingdom",NA,0,3,1,157,0,75,273,"999",NA,NA,NA,NA,"","@healingmindstw"
1454967684756611072,"ggheorghiu","neurodiversity in technology be business miss out on key talent techcrunch",46426671,FALSE,"en","2021-11-01T00:25:02.000Z",1454967684756611072,NA,"https://pbs.twimg.com/profile_images/651646030203781120/hpJT-m90_normal.jpg","Gabriel Gheorghiu","2009-06-11T16:36:29.000Z",FALSE,FALSE,"Research Principal (#ERP, Supply Chain Management, eCommerce) at @G2dotcom
Some opinions are my own, some aren't",1485725371668434944,"Montreal, Canada","https://t.co/ok8FjLKiuG",0,0,0,76472,778,8935,9183,"999",NA,NA,NA,NA,"",""
1454964951311736832,"MeanderingPark","the neurodiversity movement be about try to get society to change to be much accept and accommodate of autism adhd rather than try to change the autistic person to be little autistic this do not_mean provide no_support to the autistic person",1038014128747511808,FALSE,"en","2021-11-01T00:14:10.000Z",1454911477173956608,1038014128747511808,"https://pbs.twimg.com/profile_images/1622398579427135489/Q3NU355q_normal.jpg","Charlie Park (she/they) ♿🌈🥄😷","2018-09-07T10:40:28.000Z",FALSE,FALSE,"🎂 Late to the Autism party🥄Collector of chronic illnesses 😷 COVID-Avoider 👄 Speaks and writes about disability ☎️ Hire me admin@championhealthagency.com",1543209266278178816,"Boon Wurrung Lands, Australia","https://t.co/9cO3Uo7M40",0,0,0,5473,16,1958,1317,"999",NA,NA,NA,NA,"","@mightykreskin @keirwales"
1455133420628107264,"RuthArnold","stereotype can be barrier adhd may sit alongside other diagnose people be still individual not_enough attention be give to live good and accommodate neurodiversity at all stage of life not_just child hope that help great it be be discuss",297670835,FALSE,"en","2021-11-01T11:23:37.000Z",1455121633639796736,4213466591,"https://pbs.twimg.com/profile_images/1632073701570097154/ASXOk6c2_normal.jpg","Ruth Arnold","2011-05-12T22:22:01.000Z",FALSE,FALSE,"Public Affairs, Intl Education & Charities 
Outstanding Contribution @PIEoneerAwards 2020
#WeAreInternational cofounder
Own opinions, open to revision.",1643285615943745536,"Peak District, UK","https://t.co/lFcFrXLe6y",0,4,0,38440,62,4255,2188,"999",NA,NA,NA,NA,"","@4licerose"
