"tweet_id","user_username","text","conversation_id","possibly_sensitive","lang","in_reply_to_user_id","author_id","created_at","user_url","user_profile_image_url","user_name","user_created_at","user_verified","user_location","user_description","user_protected","user_pinned_tweet_id","retweet_count","like_count","quote_count","user_tweet_count","user_list_count","user_followers_count","user_following_count","sourcetweet_type","sourcetweet_id","sourcetweet_text","sourcetweet_lang","sourcetweet_author_id","extracted_hashtags","tagged"
1278145771225972736,"jimmybero","nanette douglas both illuminate our society is need to celebrate the gift of neurodiversity",1278143289536008192,FALSE,"en",236294109,236294109,"2020-07-01T01:57:53.000Z","https://t.co/N14BOO9tiq","https://pbs.twimg.com/profile_images/759080765111939072/qoXmCbdT_normal.jpg","Jimmy Bero","2011-01-10T07:37:50.000Z",FALSE,"Madison, WI","I like cheese 🧀",FALSE,NA,0,0,0,989,5,303,550,"999",NA,NA,NA,NA,"",""
1278135646222237696,"HauntedOldBook","come join me two week from now i be talk about neurodiversity in library with a unbelievable lineup of panelist",1278135646222237696,FALSE,"en",NA,1130203489374801920,"2020-07-01T01:17:39.000Z","https://t.co/r55WFtIe5q","https://pbs.twimg.com/profile_images/1553042424556969985/MnLRBwO__normal.jpg","Tee Furg is Ukrainian 🇺🇦","2019-05-19T20:08:04.000Z",FALSE,"NY","Libraries. Poems. Policy. Equity and justice. #GoLeafsGo He/him/his. Libra, but that’s obvious. ALA Emerging Leader 2022.",FALSE,1405992214203932672,1,5,0,1459,5,432,2459,"999",NA,NA,NA,NA,"",""
1278133697393291264,"barisanhantu","and of course i would really like to see learn design for neurodiversity rather than for develop human capital differentiate learn be a step in the right direction but universal design for learn be probably close",1278129483719958528,FALSE,"en",1222820028522696704,1222820028522696704,"2020-07-01T01:09:54.000Z",NA,"https://pbs.twimg.com/profile_images/1593113583764008960/ZNNxr2RO_normal.jpg","Barisan Hantu","2020-01-30T09:53:18.000Z",FALSE,NA,"Tumblr: https://t.co/vHADReIHjX
Tiktok: barisanhantu",FALSE,NA,0,3,0,31613,133,12317,1313,"999",NA,NA,NA,NA,"",""
1278132061145006080,"iamhatw","pl stop use neurodiversity as a manipulative bargain chip hyperfixation do not_equal toxic obsession and reinforce that narrative be harmful to neurodivergent ppl ty",1278129259459022848,FALSE,"en",4889502134,1473077023,"2020-07-01T01:03:24.000Z",NA,"https://pbs.twimg.com/profile_images/1334896565354455047/LOhFlpCV_normal.jpg","elisabeth","2013-05-31T20:48:43.000Z",FALSE,NA,"dave bautista fan club she/her",FALSE,NA,4,436,1,12980,0,423,324,"999",NA,NA,NA,NA,"","@elizapigs @carsonkingyt"
1278125203927838720,"messyandmad","what it be like to be adhd and black one of my fave youtube channel interview people about their experience with the intersection between race neurodiversity mental health cn discussion of suicide abuse police brutality medical racism r slur",1278125203927838720,FALSE,"en",NA,1433088517,"2020-07-01T00:36:09.000Z","https://t.co/L1xqHvfy4A","https://pbs.twimg.com/profile_images/1398233953107165184/oxSjRNb2_normal.jpg","Ell ✨","2013-05-16T13:19:27.000Z",FALSE,"Newham, London","aaaaa",FALSE,1386347990848266240,0,0,0,3340,1,274,268,"999",NA,NA,NA,NA,"",""
1278120631855243264,"DiscPrimitive","i really appreciate your candidness i suspect there be a lot of us in the vp community who have a broad range of illness and neurodiversity i know my own baggage come through in my vp be that part of your experience also you baggage and all be always welcome here",1277941547552567296,FALSE,"en",18181796,1193784605368668160,"2020-07-01T00:17:59.000Z",NA,"https://pbs.twimg.com/profile_images/1584778033709187072/fNrzJJ6Y_normal.jpg","Drew","2019-11-11T06:59:31.000Z",FALSE,"Boonwurrung / Melbourne","Ex-games industry and accessible dev. UniSA Bach. of Psychological Science & Sociology student, w/ two Online Excellence Awards (2021 & 2022). Follower of Jesus",FALSE,NA,0,1,0,4451,6,488,167,"999",NA,NA,NA,NA,"","@j3wls @jacoblishmov @visual_moods"
1278273103462895616,"WhoStu","recruitment good practice exemplar around neurodiversity from and hcm think leadership with genuine organizational benefit",1278273103462895616,FALSE,"en",NA,817257997,"2020-07-01T10:23:51.000Z","https://t.co/5JVrTzQtSW","https://pbs.twimg.com/profile_images/1572125992789094406/d74AQxTA_normal.jpg","Stuart Lauchlan","2012-09-11T11:43:05.000Z",FALSE,NA,"co-founder, diginomica. Journalist quietly despairing. In no mood for...take your pick.",FALSE,943021023334612992,1,2,0,17788,96,1440,563,"999",NA,NA,NA,NA,"","@sap @cloud9insight"
1278272692106428416,"BytesDyslexia","why hire upside down thinker such as and be a competitive advantage",1278272692106428416,FALSE,"en",NA,1129773331681632256,"2020-07-01T10:22:13.000Z","https://t.co/pYfqVIPd6Y","https://pbs.twimg.com/profile_images/1129784399669669888/SEkbNLMY_normal.png","Dyslexia Bytes","2019-05-18T15:38:47.000Z",FALSE,"Yorkshire, UK","Dedicated to raising awareness, passionate about learning.
Training, conference speaking, research, bringing people together.
#Dyslexia #SEN https://t.co/Lxfk6y43F0",FALSE,1611401664015093760,0,5,0,7513,14,1810,2097,"999",NA,NA,NA,NA,"#adhd #autism",""
1278272492528959488,"marisaddendum","that be all there be not_a major turn point to highlight personality disorder and neurodiversity be different still the resemblance i see regard this two condition seem legit my useless rabbit hole end any far consideration it be welcome n end",1278272440800620544,FALSE,"en",1252170177824915456,1252170177824915456,"2020-07-01T10:21:26.000Z",NA,"https://pbs.twimg.com/profile_images/1490291329775149058/r2RpESzp_normal.jpg","dizzy-addendum","2020-04-20T09:40:17.000Z",FALSE,"Wondering-Brain-Fog","my personal attempt to share something! Autistic + deaf. An emotional mess due to alexithymia and sensitivity to rejection.",FALSE,NA,0,1,0,981,3,142,56,"999",NA,NA,NA,NA,"",""
1278272476594790400,"marisaddendum","in the questionnaire you can find easily neurodivergent trait both from adhd and autism in my ignorant opinion but here i have try to highlight that point that be true for me but i can not_say if be neurodiversity relate that point that may lead to misdiagnosis n",1278272440800620544,FALSE,"en",1252170177824915456,1252170177824915456,"2020-07-01T10:21:22.000Z",NA,"https://pbs.twimg.com/profile_images/1490291329775149058/r2RpESzp_normal.jpg","dizzy-addendum","2020-04-20T09:40:17.000Z",FALSE,"Wondering-Brain-Fog","my personal attempt to share something! Autistic + deaf. An emotional mess due to alexithymia and sensitivity to rejection.",FALSE,NA,0,1,0,981,3,142,56,"999",NA,NA,NA,NA,"",""
