"X","user_username","text","tweet_id","lang","sourcetweet_type","quote_count","user_verified","extracted_hashtags","tagged"
228,"StudyUCEM","meet our disability and welfare team the team be host a webinar for applicant this even to talk you through all the support available when study with a disability neurodiversity or health condition visit to register",1498587227277955072,"en","999",0,TRUE,"#BuiltForSupport",""
250,"cmi_managers","what would happen if the world view differently if everyone notice the strength that can come from this difference first instead of the challenge share some fantastic insight",1498695554569805824,"en","999",1,TRUE,"#Neurodiversity","@NancyDoylePsych"
276,"rmpbs","we want ross to be able to experience a complete life one where he can have meaningful work one where he can live in a community where he be respect and have friend welcome to tall tale ranch",1498677257950445568,"en","999",0,TRUE,"",""
308,"SurreyPolice","womens history month ampinternational womens day be come up this month in celebration of all woman we be host a workshop on with internalamp external speaker we will cover various topic like nutrition lifestyle for shift worker neurodiversity",1498659669283332096,"en","999",1,TRUE,"#IWD2022 #BreakTheBias",""
385,"BadAstronomer","nasas neurodiversity network be look for high school intern for summer you can read much about this and apply here",1498725492400312320,"en","999",0,TRUE,"",""
415,"OneMindOrg","today be there be far too many individual who have be discriminate against because of their mental health or mental health condition it be crucial that we continue to fight the stigma surround brain health and embrace neurodiversity",1498705232053903360,"en","999",0,TRUE,"#ZeroDiscriminationDay",""
666,"AucklandUni","professor of say teacher train need to include much guidance on educate neurodiverse child that with the like of dyslexia adhd and autism spectrum disorder",1498923566959669248,"en","999",0,TRUE,"#education #neurodiversity","@WaldieKaren @PsychUoA"
673,"sarahnadav","neurodiversity be a super power in the tech world",1498919891465908224,"en","999",0,TRUE,"",""
762,"mozillafestival","join the create neurodiverse wellbeing space at to explore in the digital age if you be interest in break down barrier amp build network of trust amp equity secure your mozfest ticket here",1498971945844588544,"en","999",1,TRUE,"#MozFest #neurodiversity",""
763,"mozillafestival","join the create neurodiverse wellbeing space at to explore in the digital age if you be interest in break down barrier amp build network of trust amp equity secure your mozfest ticket here",1498971831646232576,"en","999",2,TRUE,"#MozFest #neurodiversity",""
906,"LSEPhilosophy","philosophy be the art of dance with big idea and the big of idea often require a new perspective sam crutcher from explore philosophy and neurodiversity in this new post from the philosophy blog",1499057946520481792,"en","999",1,TRUE,"#LSE","@LSESocialPolicy"
1364,"AllieLarkin","yes i also just see a meme call out a person of horrible action for fail the ged fail a test can be neurodiversity relate or anxiety or so many thing that do not matter in relation to a person hatefuldestructive action the action be the thing to point at",1499168272985780224,"en","999",0,TRUE,"","@courtneylcraig"
1375,"dyslexicadv","premium be multiple choice test the good test format for student with dyslexia find out",1499157612557918208,"en","999",0,TRUE,"#dyslexia #dyslexicadvantage #neurodiversity #multiplechoice #testing #dyslexicstudents #assessments",""
1492,"TheDrum","it take james marsden year to disclose his hide disability to his manager for fear of seem weak he say company have a long way to go when it come to accommodate people like him",1499350227223941120,"en","999",0,TRUE,"#Neurodiversity #Disability #Accessibility","@RAPP"
1498,"NeilMilliken","hello learn about the work of some amaze people work in our space you can sign up for the celebrate award from this link",1499347506911719424,"en","999",0,TRUE,"#neurodiersesquad #Neurodiversity",""
1716,"KnowsleyCouncil","knowsley council and have team up to deliver free webinars to raise awareness of learn disability and neurodiverse condition the onehour session be completely free to attend",1499399260080521216,"en","999",1,TRUE,"","@lpoolcouncil"
1768,"SANSInstitute","join us for this summit will be pack with content develop by and for nd professional and invaluable to anyone who manage report to work with or want to support nd colleaguesfriends register now for free",1499448737235668992,"en","999",3,TRUE,"#NeurodiversitySummit #cybersecurity",""
1974,"dralissajay","the field have million job opening accord to cybersecurity venture think leadership from on via",1499512637792702464,"en","999",0,TRUE,"#Cybersecurity #Neurodiversity","@CybersecuritySF @BankofAmerica @businessinsider"
2000,"ScienceUoA","professor karen waldie from the want educator to be able to access much knowledge to improve outcome for neurodiverse learner and prevent them end up with mental health issue in late life explore much",1499505503767916544,"en","999",0,TRUE,"","@PsychUoA"
2078,"OISTedu","if you have meet one person with you have meet one person with autism many thank to the panelist and the asperger autism network for share their live experience in the research community and knowledge on understand",1499562175475634176,"en","999",0,TRUE,"#autism #neurodiversity",""
2256,"A_L_T","blog neurodivergence and online learn through the pandemic what be neurodiversity post of",1499739450741383168,"en","999",1,TRUE,"#ALTC #altc",""
2346,"jobs_gc","help us spread the word the neurodiversity at work recruitment program aim to hire people on the autism spectrum or who identify as neurodivergent for a numb of position in the see all the job opening amp apply by march here",1499793801396822016,"en","999",0,TRUE,"#GC",""
2359,"npaa_uk","neurouniformity be a opposite of neurodiversity although you can go for neurosimilar in that sentence to avoid mental image of everyone wear the same clothe",1499787426805567488,"en","999",0,TRUE,"","@SueReviews"
2369,"PACEYchildcare","our next pacey live webinar be at pm on thursday march we will be join by dr pooja sharma senior development officer at as we explore neurodiversity in the early year pacey member can register for the webinar for free here",1499783481915846656,"en","999",0,TRUE,"","@CDC_tweets"
2446,"MDBiz","s meaningful community service and core foundation program in rockville be host a neurodiversity at work job fair on from pm the event will feature onsite interview for direct service professional",1499825771690528768,"en","999",0,TRUE,"","@KennedyKrieger"
2454,"colgateuniv","set in a vague familiar time and place kinderkrankenhaus be about child who find themselves within the grey wall of a hospital the production recently stage in brehmer auditorium celebrate neurodiversity in both its message and production",1499823745015459840,"en","999",0,TRUE,"",""
2528,"dyslexicadv","homeschooling during the pandemic be still a powerful option for student if financially viable read why",1499882384245809152,"en","999",0,TRUE,"#dyslexia #dyslexicadvantage #neurodiversity #homeschool #covid #pandemiceducation #dyslexicstudents",""
2584,"EmilySchooley","neurotypical people just click the mouse the program open and off they go but for people with neurodiversity and executive function issue sometimes the mouse do not work the program will often freeze or crash sometimes you have to restart the system",1499849487912964096,"en","999",0,TRUE,"",""
2809,"jayannlopez_","i see the discoursejokes be make about shayne but i have be look at his social interactionmannerisms through the lens of me personally have a family member who have asperger and i be wonder if neurodiversity have take be into account",1500082152288968704,"en","999",0,TRUE,"#LoveIsBlind",""
3019,"stevesilberman","please join me this thu mar for a free online discussion of my history of and host by i have invite reporter author of the brilliant we be not break to join me for a conversation see you there",1500168981302288384,"en","999",2,TRUE,"#autism #neurodiversity #NeuroTribes #autistic","@LivLibrary @EricMGarcia"
3318,"npaa_uk","a couple of post on neurodiversity language amp social medium it be great to see so many post about autism amp nd from police account on sm this be a new subject for many of us amp we do not always get language amp terminology right as prefer by the autisticnd community",1500232672995684352,"en","999",1,TRUE,"",""
3726,"PFEW_HQ","neurodiversity be become much understand and celebrate in both society and in the workplace rather than be see as a disorder but be the police service behind the curve find out much in this month",1500471267912265728,"en","999",0,TRUE,"#PoliceMag",""
4029,"eatlikeagirl","also it be not a judgement i just assume quite rightly from your comment that you hadnt be online much before whereas i always have be too much but also part of my neurodiversity be to take thing very literally",1500786445681897472,"en","999",0,TRUE,"","@SigneSJohansen @theidahochef"
4288,"psychmag","be psychology fall behind the time on neurodiversity",1500853163246690304,"en","999",0,TRUE,"",""
4306,"LSEPhilosophy","philosophy be the art of dance with big idea and the big of idea often require a new perspective sam crutcher from explore philosophy and neurodiversity in this new post from the philosophy blog",1500847236464488448,"en","999",1,TRUE,"#LSE","@LSESocialPolicy"
4327,"dlrcc","all ability ireland be a lead body in perform art support neurodiversity amp mental health by deliver bespeak creativelife skill programme check out their upcoming event for teen amp kid at",1500916695019438080,"en","999",0,TRUE,"#dlrCommunity","@Crosscare1 @ComhairleNaNog1"
4344,"Kris10Parisi","microsoft quietly unveil a pilot program aim at connect neurodivergent talent with job company must be a member of s neurodiversity work roundtable amp have a establish neurodiverse hire program detail",1500911770113880064,"en","999",7,TRUE,"","@DisabilityIN"
4347,"HR_Brew","the neurodiversity career connector aim to help employer tap into the neurodiverse talent pool",1500911503196794880,"en","999",0,TRUE,"",""
4443,"NielsenMassey","bake with neurodiversity give me that space where my thought can go quiet and i can concentrate on something to create a beautiful outcome for beautiful outcome indeed we be lucky to partner with a incredible talent",1500944391334207488,"en","999",1,TRUE,"","@lizzieacker_ @people"
4468,"DisabilityIN","in disabilityin and establish the work employer roundtable the neurodiversity career connector that aim to help employer tap into the neurodiverse pool learn much at via",1500935672772898816,"en","999",1,TRUE,"#Neurodiversity #talent","@Microsoft @HR_Brew"
4487,"jobs_gc","the neurodiversity at work recruitment program aim to hire people who identify as neurodivergent the focus on ability not disability offer assessment and workplace accommodation and much much apply by march here",1500932723225075712,"en","999",0,TRUE,"#GC",""
4586,"Lever","study have show that despite the many benefit organization can reap from work with talent this individual continue to be overlook here be simple tip to hire for this talent",1500969652524130304,"en","999",0,TRUE,"#neurodivergent",""
4598,"Big_Heritage","their little team be honest about their neurodiversity to client it mean you will not get a slick sale pitch in a swanky office but you get train of thought and solution you get nowhere else and attention to detail you hadnt realise you need until you errrneed it",1500961292257009664,"en","999",0,TRUE,"",""
4670,"ForbesEurope","professor amanda kirby highlight forget neurodiversity heroine on international womens day",1501093137569177600,"en","999",0,TRUE,"",""
4707,"NHSKentCHFT","for our next workshop have you ever hear the term neurodiversity it be a relatively new term that be use to describe the different way the brain can work and interpret information it highlight that people naturally think about thing differently",1501170258320805888,"en","999",0,TRUE,"",""
4869,"JoeyAkan","find out that adhd have become fashionable will never not make my blood crawl i be out here fight for my life and people think it make them cool to claim neurodiversity perhaps one day your brain should produce a imbalance of chemical see how fun that be",1501181952514301952,"en","999",4,TRUE,"",""
4921,"MDBiz","will host a neurodiversity at work job fair for its meaningful community service and core foundation program on from pm the event will include onsite interview for direct service professional",1501227139269644288,"en","999",0,TRUE,"#ICYMI","@KennedyKrieger"
5014,"christopherward","goodness thisll be my first time ever in lisbon and in portugal for that matter thank so much to for accept my code and mental illness survival guide talk give a platform to neurodiversity awareness make such a immense difference",1501276446093811712,"en","999",0,TRUE,"","@droidconLisbon"
5052,"CMHABC","on march join to learn about increase accessibility to a full neurodiversity of thinker in postsecondary space",1501260473739665408,"en","999",0,TRUE,"","@CMHInnovation"
5056,"lambeth_council","livity school passage share your view woodland community centre leigham court rd sw pj march pm free q amp a on plan for livity school art workshop plant amp paint a chili pot learn cic",1501256597359706112,"en","999",0,TRUE,"","@inuse_reuse @Neurodiversity"
5131,"jobs_gc","be you or be someone you know a person who identify as neurodivergent and look for a new career the neurodiversity at work program be hire for a variety of job see all the career opportunity and apply by march here",1501309326857809920,"en","999",0,TRUE,"#GC",""
