"X","user_username","text","tweet_id","lang","sourcetweet_type","quote_count","user_verified"
1498,"NeilMilliken","Hi #neurodiersesquad Learn about the work of some amazing people working in our space. You can sign up for the Celebrating #Neurodiversity Awards from this link. ",1499347506911719424,"en","999",0,TRUE
1716,"KnowsleyCouncil","Knowsley Council and @lpoolcouncil have teamed up to deliver free webinars to raise awareness of learning disabilities and neurodiverse conditions. The one-hour session is completely free to attend.

",1499399260080521216,"en","999",1,TRUE
1768,"SANSInstitute","Join us for #NeurodiversitySummit! This Summit will be packed with content developed by and for ND #cybersecurity professionals and invaluable to anyone who manages, reports to, works with, or wants to support ND colleagues/friends.

Register now for FREE: ",1499448737235668992,"en","999",3,TRUE
1974,"dralissajay","The #Cybersecurity field has 3.5 million job openings according to Cybersecurity Ventures @CybersecuritySF. Thought leadership from @BankofAmerica on #Neurodiversity. via @businessinsider",1499512637792702464,"en","999",0,TRUE
2000,"ScienceUoA","Professor Karen Waldie from the @PsychUoA wants educators to be able to access more knowledge to improve outcomes for neurodiverse learners and prevent them ending up with mental health issues in later life.
Explore more⬇️
",1499505503767916544,"en","999",0,TRUE
2078,"OISTedu","""If you've met one person with #autism, you've met one person with autism."" 

Many thanks to the panelists and the Asperger / Autism Network for sharing their lived experiences in the research community and knowledge on understanding #neurodiversity. ",1499562175475634176,"en","999",0,TRUE
2256,"A_L_T","[#ALTC Blog] Neurodivergence and online learning through the pandemic: What is neurodiversity Post 1 of 3 #altc ",1499739450741383168,"en","999",1,TRUE
2346,"jobs_gc","Help us spread the word! 
The Neurodiversity at Work recruitment program aims to hire people on the autism spectrum, or who identify as neurodivergent, for a number of positions in the #GC. See all the job openings &amp; apply by March 15, 2022, here: ",1499793801396822016,"en","999",0,TRUE
2359,"npaa_uk","@SueReviews Neuro-uniformity is an opposite of neurodiversity, although you could go for neuro-similar in that sentence to avoid mental images of everyone wearing the same clothes 😀",1499787426805567488,"en","999",0,TRUE
2369,"PACEYchildcare","Our next PACEY Live webinar is at 7pm on Thursday 17 March 💻
We'll be joined by Dr Pooja Sharma, Senior Development Officer at @CDC_tweets, as we explore Neurodiversity in the early years. PACEY Members can register for the webinar for FREE here - ",1499783481915846656,"en","999",0,TRUE
2446,"MDBiz","@KennedyKrieger's Meaningful Community Services and CORE Foundations programs in Rockville are hosting a Neurodiversity at Work Job Fair on 3/10 from 4-6 p.m. The event will feature on-site interviews for direct service professionals. ",1499825771690528768,"en","999",0,TRUE
2454,"colgateuniv","Set in a vaguely familiar time and place, Kinderkrankenhaus is about children who find themselves within the grey walls of a hospital. 

The production recently staged in Brehmer Auditorium, celebrates neurodiversity in both its message and production.",1499823745015459840,"en","999",0,TRUE
2528,"dyslexicadv","Homeschooling during the pandemic is still a powerful option for students if financially viable. Read why ⬇
#dyslexia #dyslexicadvantage #neurodiversity #homeschool #covid #pandemiceducation #dyslexicstudents",1499882384245809152,"en","999",0,TRUE
2584,"EmilySchooley","Neurotypical people just click the mouse, the program opens, and off they go.

But for people with neurodiversity and executive function issues, sometimes the mouse doesn't work. The program will often freeze or crash. Sometimes you have to restart the system.",1499849487912964096,"en","999",0,TRUE
2809,"jayannlopez_","I see the discourse/jokes being made about Shayne but, I've been looking at his social interaction/mannerisms through the lens of me personally having a family member who has Asperger's and I'm wondering if neurodiversity has taken been into account.
#LoveIsBlind",1500082152288968704,"en","999",0,TRUE
3019,"stevesilberman","Please join me this Thu Mar 10 for a free online discussion of my history of #autism and #neurodiversity, #NeuroTribes, hosted by @LivLibrary. I've invited #autistic reporter @EricMGarcia, author of the brilliant ""We're Not Broken,"" to join me for a conversation. See you there! ",1500168981302288384,"en","999",2,TRUE
3318,"npaa_uk","A couple of posts on neurodiversity, language &amp; social media..
It's great to see so many posts about autism &amp; ND from police accounts on SM - this is a new subject for many of us &amp; we don't always get language &amp; terminology 100% right, as preferred by the autistic/ND community..",1500232672995684352,"en","999",1,TRUE
3726,"PFEW_HQ","Neurodiversity is becoming more understood and celebrated in both society and in the workplace rather than being seen as a disorder- but is the police service behind the curve? 

Find out more in this month's #PoliceMag",1500471267912265728,"en","999",0,TRUE
4029,"eatlikeagirl","@SigneSJohansen @theidahochef Also it wasn’t a judgement. I just assumed - quite rightly from your comment - that you hadn’t been online much before whereas I always have been too much. (But also, part of my neurodiversity is to take things very literally).",1500786445681897472,"en","999",0,TRUE
4288,"psychmag","Is Psychology falling behind the times on neurodiversity?  ",1500853163246690304,"en","999",0,TRUE
4306,"LSEPhilosophy","""Philosophy is the art of dancing with big ideas, and the biggest of ideas often require a new perspective.""

Sam Crutcher from @LSESocialPolicy explores philosophy and neurodiversity in this NEW POST from the #LSE Philosophy Blog.

",1500847236464488448,"en","999",1,TRUE
4327,"dlrcc","All Abilities Ireland is a leading body in Performing Arts, supporting Neurodiversity &amp; Mental Health by delivering bespoke creative/life skills programmes

Check out their upcoming events for Teens &amp; Kids at: #dlrCommunity @Crosscare1 @ComhairleNaNog1 ",1500916695019438080,"en","999",0,TRUE
4344,"Kris10Parisi","Microsoft quietly unveiled a pilot program aimed at connecting neurodivergent talent with jobs. 

Companies must be a member of @DisabilityIN's Neurodiversity @ Work Roundtable &amp; have an established neurodiverse hiring program

Details 👇
",1500911770113880064,"en","999",7,TRUE
4347,"HR_Brew","The Neurodiversity Career Connector aims to help employers tap into the neurodiverse talent pool. ",1500911503196794880,"en","999",0,TRUE
4443,"NielsenMassey","""Baking with neurodiversity gives me that space where my thoughts can go quiet and I can concentrate on something to create a beautiful outcome.""@lizzieacker_  for @people  ​

Beautiful outcomes, indeed! We are lucky to partner with an incredible talent.​ ",1500944391334207488,"en","999",1,TRUE
4468,"DisabilityIN","In 2017, Disability:IN and @Microsoft established the #Neurodiversity @ Work Employer Roundtable. The Neurodiversity Career Connector that aims to help employers tap into the neurodiverse #talent pool. Learn more at: via @HR_Brew",1500935672772898816,"en","999",1,TRUE
4487,"jobs_gc","The Neurodiversity at Work recruitment program aims to hire people who identify as neurodivergent. The #GC focuses on abilities, not disabilities, offering assessment and workplace accommodations and much more. Apply by March 15, 2022, here: ",1500932723225075712,"en","999",0,TRUE
4586,"Lever","Studies have shown that despite the many benefits organizations can reap from working with #neurodivergent talent, these individuals continue to be overlooked. 

Here are 4 simple tips to hiring for this talent: ",1500969652524130304,"en","999",0,TRUE
4598,"Big_Heritage","Their little team are honest about their neurodiversity to clients. 

It means you won't get a slick sales pitch in a swanky office, but you get trains of thoughts and solutions you get nowhere else, and attention to detail you hadn't realised you needed until you errr...need it.",1500961292257009664,"en","999",0,TRUE
4670,"ForbesEurope","Professor Amanda Kirby Highlights Forgotten Neurodiversity Heroines On International Women’s Day ",1501093137569177600,"en","999",0,TRUE
4707,"NHSKentCHFT","For our next workshop: Have you ever heard the term neurodiversity? It’s a relatively new term that is used to describe the different ways the brain can work and interpret information. It highlights that people naturally think about things differently. ",1501170258320805888,"en","999",0,TRUE
4869,"JoeyAkan","Finding out that ADHD has become fashionable will never not make my blood crawl. 

I'm out here fighting for my life, and people think it makes them cool to claim  neurodiversity.

Perhaps, one day your brain should produce an imbalance of chemicals. See how 'fun' that is.",1501181952514301952,"en","999",4,TRUE
4921,"MDBiz","#ICYMI: @KennedyKrieger will host a Neurodiversity at Work Job Fair for its Meaningful Community Services and CORE Foundations programs on 3/10 from 4-6 p.m. The event will include on-site interviews for direct service professionals. ",1501227139269644288,"en","999",0,TRUE
5014,"christopherward","Goodness, this'll be my first time ever in Lisbon. And in Portugal🇵🇹 for that matter.

Thanks so much to @droidconLisbon for accepting my Coding and Mental Illness Survival Guide talk. Giving a platform to neurodiversity awareness makes such an immense difference. 🙏❤️ ",1501276446093811712,"en","999",0,TRUE
5052,"CMHABC","On March 22, join @CMHInnovation to learn about increasing accessibility to a full neurodiversity of thinkers in post-secondary spaces. ",1501260473739665408,"en","999",0,TRUE
5056,"lambeth_council","Livity School Passage – share your views. 

Woodlands 🌳 community centre 16 Leigham Court Rd SW16 2PJ 11 March 5-7pm 

Free Q &amp; A on plans📈  for Livity school  +
Art workshop plant 🌶️ &amp; paint a chili pot 

@inuse_reuse; @Neurodiversity Learning CIC

",1501256597359706112,"en","999",0,TRUE
5131,"jobs_gc","Are you, or is someone you know, a person who identifies as neurodivergent and looking for a new  career? The Neurodiversity at Work program is hiring for a variety of #GC jobs. See all the career opportunities and apply by March 15, 2022, here: ",1501309326857809920,"en","999",0,TRUE
5220,"PWDAustralia","This is not OK. Almost half of Australians experience a mental health condition in their lifetime, with 3 million adults having anxiety or depression. #MentalIlness #MentalHealth #Neurodiversity #PsychosocialSupport",1501339436810137600,"en","999",0,TRUE
5248,"stevesilberman","Please join me Thu Mar 10 at 7pm PT/10pm ET for a free online discussion of my history of #autism and #neurodiversity, #NeuroTribes. I'll be blessed with the presence of @EricMGarcia, #autistic author of ""We're Not Broken."" Hosted by @LivLibrary. See you! ",1501333582689681408,"en","999",1,TRUE
5444,"Rubberbandits","New podcast. I speak to neuroscientist and psychologist Professor Anna Abraham for @CreativeBrainWk . She is an expert on the human brain and Creativity. We speak about the creative brain, art, neurodiversity and creative flow. She's fascinating ",1501498552505323520,"en","999",5,TRUE
5448,"AnneRabbitte","In Paris today with some of my 🇪🇺 counterparts attending Ministerial conference on Disability. Topics incl accessibility &amp; mobility, supporting educational opportunities, neurodiversity research &amp; inclusive employment. Some interesting suggestions to bring back to 🇮🇪 @dcediy ",1501596691316756480,"en","999",1,TRUE
5690,"SStaffsPolice","Today, Staffordshire Police Autism Champion, PCSO Phillip Millichap , visited a local college to speak to students about his career in the force. He is passionate about breaking down barriers around Autism and neurodiversity and inspiring others to never give up... continued",1501652155492667392,"en","999",0,TRUE
5884,"Acrobat","Lisa Nicole Rosado founded @WeAreWomenOwned to uplift women-owned small businesses. She explains how her neurodiversity has helped her—and the business owners she supports—thrive. #WomensHistoryMonth",1501739622371500032,"en","999",0,TRUE
6053,"Bernard_Lane","""... [about] one third of children &amp; young people referred to [the Tavistock clinic] had autism or other types of neurodiversity. The reasons for these changes were not adequately investigated or understood.""",1501897988469248000,"en","999",1,TRUE
6115,"lambeth_council","Have your say! 

Free Q &amp; A on work planned for Livity school passage +
Art workshop planting🎨  &amp; painting a chili🌶️  pot 

Woodlands🌲  community centre 16 Leigham Court Road SW16 2PJ 11 March 5-7pm 

@inuse_reuse; @Neurodiversity Learning CIC

",1501951216078573568,"en","999",0,TRUE
6262,"TGenMINDCROWD","@linnea_teresa_ Take the test. You might do better than you expect. It's only 10-minutes and unless you have dementia (not healthy), you will be able to do it. We do embrace neurodiversity.🧠❤️ We hope they'll be able to help you manage your conditions soon",1501965934453534720,"en","999",0,TRUE
6271,"EnglandNetball","“I’ve never ever given up on netball because I just think this is for me.”

Hannah McGregor: the @team_sunderland netballer passionate about raising the profile of neurodiversity in sport⬇️

",1501961765357293568,"en","999",4,TRUE
6275,"stevesilberman","This is tonight, at 7pm PT/10pm ET! Please join me to talk about my history of #autism and #neurodiversity, #NeuroTribes, with @EricMGarcia, #autistic author of the groundbreaking ""We're Not Broken."" Free and online, hosted by @LivLibrary. ",1501960710951096320,"en","999",2,TRUE
6553,"stevesilberman","Fascinating comments from the sparkling queen of #neurodiversity on @BritishBakeOff, @lizzieacker_ , on the accommodations made for her #dyslexia and #ADHD on the show.  ",1502064383517671424,"en","999",1,TRUE
6794,"TheBrainCharity","📆 This week, Scott, Soph &amp; Mia were at Greenbank College, talking to young people about our employment projects. 💼

To find out how our employment team can help you: email info@thebraincharity.org.uk or call us on 0151 298 2999.
.
 #neurodiversity #employment  #employability ",1502261821797019648,"en","999",0,TRUE
6867,"Abadesi","Week 84 @Brandwatch 

✨ planning community partnership events for 2022

✨ prepping gender pay gap &amp; diversity survey data for middle mgmt &amp; all staff

✨ learning from team mates in our #neurodiversity slack channel

✨ plotting diversity recruitment initiatives w engineering",1502236098143166464,"en","999",0,TRUE
6914,"SouthamptonCC","1/5: It's National Careers Week 2022 #NCW2022 and we're taking the opportunity to shine a spotlight on our new Solent Get Into Employment scheme which supports neurodivergent people into employment.
#careers #opportunity #employment #neurodiversity ",1502286745706156032,"en","999",1,TRUE
6988,"MerseysideVrp","We have taken away some superb campaigning ideas from young people on #neurodiversity, child to parent, and honour-based violence. Wording on ads, which social media channel to utilise and even the colour of publicity materials all cited as vital #Liverpool ",1502322485794160640,"en","999",0,TRUE
7072,"Scholastic","NEURODIVERSITY AND NEURODIVERGENCE: Books that feature characters who have neurological variances and differences, such as autism, dyslexia, and ADHD are necessary additions to all #EquitableBookshelves ",1502343641410514944,"en","999",0,TRUE
7094,"LLBruce","@chrisphin I’m not diagnosed either but did neurodiversity training in my last job and met every single criteria for adult female ADHD. It explained so much. And has since opened the door for my child to be diagnosed.",1502337725403435008,"en","999",0,TRUE
7137,"AutismSociety","Girls often mask and defy stereotypical Autistic behaviors. Clinicians must carefully listen to their patients so they do not miss the opportunity to provide the support needed. ",1502328539974098944,"en","999",0,TRUE
7258,"jobs_gc","The deadline to apply is next week for the Neurodiversity at Work program. @PSCofCanada @TBS_Canada and @SpecInCanada  are offering a number of #GC job opportunities. View them all and apply by March 15, 2022, here: 
 ",1502344298385350656,"en","999",0,TRUE
7518,"HarryRBurger","@AIMautistic I've had some people get VERY upset &amp; abusive recently for associating autism with the rainbow infinity, insisting EVERYONE knows that's for neurodiversity more broadly, that if it's autism specific it should be gold only, because gold is Au in the periodic table.",1502436378600259584,"en","999",0,TRUE
7569,"eaterlondon","Season 12’s most memorable contestant Lizzie Acker on filming in a COVID bubble, representing for neurodiversity, and the world’s best group chat ",1502585250739888128,"en","999",0,TRUE
8104,"LLBruce","@EveAinsworth It took us 7 years to get an autism diagnosis for my son. Just when I was about to pay for it privately we were told the school would to accept anything but the standard NHS diagnosis. So the wait continued. Neurodiversity is not treated with the urgency it needs",1502741191120629760,"en","999",0,TRUE
8242,"HollyRodFDN","Fascinating article. What are your thoughts? My Autistic Child Might Know More About What's Important Than I Do ",1502978974653333504,"en","999",0,TRUE
8401,"phillymag","""My son has decided it’s high time that the world understands that the autistic mind can be legitimate on its own terms,"" writes Robert Huber. ""He feels he’s been put in a box of disability, and he’s punching his way out."" ",1503008014827241472,"en","999",0,TRUE
8431,"MargauxJoffe","Neurodiversity Celebration Week is coming up March 21-27. Check out the free, virtual events here: @NCWeek #Neurodiversity #adhd",1503115403832094720,"en","999",0,TRUE
8448,"weischoice","@mykola I can share this in my freelance writing opportunities newsletter on Tuesday if you haven't already found someone. Let me know if that's too late. I assume this would be for Public Neurodiversity Support Center with the same pay structure outlined on the pitch page?",1503105460819402752,"en","999",0,TRUE
8503,"PJLibrary","This book list features picture books and middle-grade books centering the experiences of autistic individuals, children with ADHD, and other neurodiverse characters.

Read more 👉 #MiddleGradeBooks #TweenBooks #NeurodiverseCharacters ",1503064691324727296,"en","999",0,TRUE
8600,"GrahamBM","Organ transplant?

Autistics to the back of the line

#autism #neurodiversity",1503133945981984768,"en","999",0,TRUE
8637,"ianhamilton_","@chris_goodyear According to IGDA'a data 26% of devs are disabled and according to UKIE's whuch excludes neurodiversity &amp; mental health it's 4%, even under UKIE' data of one in 25 devs that equates to all AAAs having quite a few disabled people working on them",1503286090907762688,"en","999",0,TRUE
8688,"AkwyZ","In any case, as the number of neurodivergent individuals entering the workforce increases, employers must respond to the growing interest in neurodiversity employment from employees, shareholders, and customers. #Diversity #HR #FutureOfWork ...",1503243061794684928,"en","999",0,TRUE
8730,"ISM_music","This #NeurodiversityCelebrationWeek, catch up with @ism_trust's recent webinars which focused on neurodiversity in the music profession. 

A neurodiverse journey in music ➡️ Teaching children on the autism spectrum ➡️ ",1503325356396355584,"en","999",0,TRUE
9056,"hughbaird","Students - here's your weekly update about everything happening across campus. On this week's episode: 
 
• Inspirational Women's Week
• Open House
• Enrichment
• Neurodiversity Week
• Solidarity with Ukraine - Thursday 24 March ",1503406953405587456,"en","999",0,TRUE
9113,"commaficionado","Feel like the world of neurodiversity advocacy is more cliquey than I expected",1503436658301149184,"en","999",5,TRUE
9131,"BFC_Health","The next East Berkshire Neurodiversity network meeting is taking place on Wednesday 23 March 2022. The network aims to connect people who want to improve their understanding of neurodiversity and support for neurodivergent children and young people. ",1503431068975783936,"en","999",0,TRUE
9176,"ForbesEurope","Can We Celebrate Neurodiversity Yet? ",1503422099075051520,"en","999",0,TRUE
9191,"CraftsCouncilUK","Our #craftscouncilat50 celebrations continue this week with a bevy of new events to attend. 🙌First up, @Design_NationUK present ‘Neurodiversity as a Superpower’ with @JoCopeStudio. Join them on Zoom from 7pm tonight. Book now: ",1503419388157992960,"en","999",0,TRUE
9246,"davecobb","A far more fitting symbol would be the rainbow infinity symbol, widely embraced for neurodiversity awareness and rights: ",1503451829836808192,"en","999",0,TRUE
9305,"kundimanforever","“Would I rather be neurotypical? Maybe; it would be easier. But would I be me? Who would I be?”

—@SejalShahWrites, ‘Even If You Can’t See It: Invisible Disability and Neurodiversity’ 

",1503483718324920320,"en","999",1,TRUE
9948,"TheHiveYZ","Year on year we are proud to show off this fantastic project celebrating neurodiversity by raising awareness and challenging stigma and discrimination. 

Take a look at this video to find out more ➡ #neurodiversitycelebrationweek ",1.503702995565e+18,"en","999",0,TRUE
9953,"maredparry","Everyone pretends to be understanding when it comes to neurodiversity until they realise it’s not always convenient for them to be flexible and accommodating - it’s so unbelievably tiring",1503702152342028288,"en","999",0,TRUE
10002,"ScreenIreland","💻 COURSE: Neurodiversity In The Screen Industry

Interested in fostering a workplace culture of diversity, equity and inclusion? 🫂

Our course is perfect for Producers, Directors, Company leaders, HOD’s, Managers, Supervisors, and Teams.

Apply now 👇

🔗",1503748788703408128,"en","999",1,TRUE
10023,"NHSEmployers","Next week is #NeurodiversityCelebrationWeek, join @NCWeek in partnership with @LexxicLtd @NHSE_Diversity for a webinar on 'Celebrating neurodiversity in healthcare' on 23 March 4-5.30pm.

#OurNHSPeople @NHSE_Paul @wdesnews Book your place
",1503740310010023936,"en","999",2,TRUE
10054,"FrMatthewLC","I think it is great news that we see countries fully embracing neurodiversity like this. At Chile's constitutional convention, an article on neurodiversity was added to the draft by an overwhelmingly positive vote. ",1503728495247208448,"en","999",0,TRUE
10137,"TheBrainCharity","The Brain Charity will be holding a session on neurodiversity at The Steps at Strawberry Field event on March 24th 📆  @strawberryfield 🍓 
Find out more about our neurodiversity training here: #neurodiversity #neurodiversityweek #neurodiverseworkforce ",1503763013140197376,"en","999",0,TRUE
10211,"CRAE_IOE","We're also delighted that CRAEs own @LauraMayCrane will be joining the panel discussion on ""Neurodiversity: The Transition to Further and Higher Education"" on Friday 25th March at 10am GMT.

You can register for the event here: ",1503796350437236736,"en","999",0,TRUE
10309,"stevesilberman","I'm not a King Crimson fanatic or anything, but DEAR LORD I can't wait to see this new documentary. (And, psst: Fripp sets off my #neurodiversity radar, just sayin'.) ",1503824338541154304,"en","999",0,TRUE
10423,"unevadareno","Worth celebrating: moving beyond neurodiversity awareness ",1503847010901798912,"en","999",0,TRUE
10450,"TamaraMcCleary","Addressing the #cybersecurity #skills gap through neurodiversity ",1503961763599065088,"en","999",0,TRUE
10476,"natashabadhwar","“The only sure reference I have for life advice is my own story. Using me as a data point, I conclude that one of the most damaging things to well-being can be to live in hiding from yourself.” @TayZonday

 A 🧵on #Autism #Neurodiversity #ActuallyAutistic

",1503940186501046272,"en","999",0,TRUE
10540,"unevadareno","Worth celebrating: moving beyond neurodiversity awareness ",1503875580776701952,"en","999",0,TRUE
10833,"CityUniLondon","💡 Next week marks #NeurodiversityCelebrationWeek, a worldwide initiative that aims to transform how neurodivergent individuals are perceived and supported 💜

Find out how you can get involved with the activities and events ⤵️

",1504049879286431744,"en","999",0,TRUE
10973,"paulbristow79","Next week I am supporting the launch of Neurodiversity in Business @NDinBusiness with my constituent @DanielJHarrisUK 👍 

This is the time for neurodivergent talent! I couldn’t agree with Dan more.  Next week we launch in Parliament, and I couldn’t be prouder 💙 ",1504101695185371136,"en","999",1,TRUE
11000,"Booktrust","It's #NeurodiversityCelebrationWeek, so we're returning to this brilliant piece from @BooksandChokers about her own experiences of neurodiversity and the incredible power of authentic representation in stories: ",1504097156222885888,"en","999",1,TRUE
11010,"cityandguilds",". @appslevy_expert and @profamandakirby host this #FEWeekAAC workshop, designed to give a greater understanding of Neurodiversity, overcoming potential learning barriers leading to improved engagement, successful outcomes and progression.

Visit: ",1504095325530857472,"en","999",0,TRUE
11324,"RIBA","From 21 to 27 March, we'll be joining individuals and organisations across the globe to participate in Neurodiversity Celebration Week. Take a look at our selection of events, activities and relevant resources: #NeurodiversityCelebrationWeek ",1504138266420908032,"en","999",0,TRUE
11413,"revkatebottley","Me and my lad went to visit the highland coos today #Neurodiversity ",1504155361795792896,"en","999",1,TRUE
11460,"CRAE_IOE","A final thank you to everyone who attended the lecture, and the @PearsFoundation, without whom CRAE would not be able to do what it does. This annual lecture will be available on our YouTube channel soon and you can download @SueReviews' slides here: ",1504172238374944768,"en","999",0,TRUE
11482,"CRAE_IOE","A neurodiversity affirmative school should expect diversity, teach self-advocacy, fight stigma and profile the individual, not the label. This can be done through collaborative co-produced research-based resources and joining forces to campaign for systemic change.",1504170611379167232,"en","999",3,TRUE
11483,"CRAE_IOE","To finish, Sue reiterated her take home messages that autism should be understood through a neurodiversity paradigm, and applying neurodiversity in schools requires a shift in perspective not just language….",1504170609034551296,"en","999",0,TRUE
11487,"CRAE_IOE","Sue’s team think it’s important to teach about neurodiversity to reflect on a diversity of experience, provide alternative narratives about why school can be hard, normalise the concept of needs, provide answers, and reinforce privacy.",1504170122587611136,"en","999",0,TRUE
11488,"CRAE_IOE","To create a neurodiversity affirmative school, Sue highlighted the Learning About Neurodiversity at School project (#LEANSproject) at @SMRCResearch run by @a_m_alcorn0131 that aimed to create and evaluate a course to teach about neurodiversity as a whole class.",1504169916869525504,"en","999",0,TRUE
11489,"CRAE_IOE","Neurodiversity requires a rethink of how and why things are done in schools, and neurodiversity affirmative schools would do the following…",1504169908682297344,"en","999",0,TRUE
11490,"CRAE_IOE","(3/3) The neurodiversity paradigm does NOT reject the concept of disability.",1504169907101093888,"en","999",1,TRUE
11491,"CRAE_IOE","(2/3) Neurodiversity does NOT only focus on the strengths and talents of individuals.",1504169905557577728,"en","999",0,TRUE
11492,"CRAE_IOE","(1/3) Neurodiversity is NOT a synonym for special educational needs or disabilities (SEND) or rare, and this is important to acknowledge to avoid just changing language but not actions, and failing to deliver on how inclusive acknowledging neurodiversity could be.",1504169903913283584,"en","999",0,TRUE
11493,"CRAE_IOE","Sue highlighted some common misunderstandings about neurodiversity…",1504169901589774336,"en","999",0,TRUE
11494,"CRAE_IOE","The neurodiversity paradigm can replace core deficit models. Neurodiversity is the fact that all human beings vary in the way our brains take in information, process it, and thus behave. Neurodiversity explains both individual and labelled-group differences.",1504169900025253888,"en","999",0,TRUE
11495,"CRAE_IOE","Finally, before Sue started the lecture she highlighted she is co-chairing an international neurodiversity conference in March 2023, It Takes All Kinds of Minds, brought to you by @MindroomInform at the Edinburgh International Conference Centre and online: ",1504169888121860096,"en","999",0,TRUE
11496,"CRAE_IOE","@SMRCResearch's is focused on educational inequalities and learning diversity, and adopts a neurodiversity framework in everything they do.",1504169884401516544,"en","999",0,TRUE
11497,"CRAE_IOE","Sue particularly thanked @a_m_alcorn0131 and @cjcrompton, two of Sue’s marvellous colleagues focused on neurodiversity in education, as she mentions on a lot of their work in the talk.",1504169880928591872,"en","999",0,TRUE
11558,"hirevue","35% of 18-year olds with #autism attend college, but 85% of college grads w/autism are under-employed or unemployed. These numbers are unacceptable.

Listen to the latest @AtWorkInAmerica podcast for practical advice to flip that statistic on its head. ",1504187255501508608,"en","999",0,TRUE
11568,"abc_everyday","When school is the source of your child's 'extreme anxiety and meltdowns' ",1504185768398495744,"en","999",0,TRUE
11610,"eatlikeagirl","I know this sounds cold. It’s not. He is a friend.

But we are both very peculiar people (hi neurodiversity!) who don’t desire flatmates. So it works as an interim solution in a city like London where rents are so high.

We would both love our own places &amp; are working towards it.",1504221438072532992,"en","999",0,TRUE
11626,"dyslexicadv","[Premium] Have you ever used Auto-text and Macros? Simplify writing and other work tasks using technology. ⬇
#dyslexia #dyslexicadvantage #neurodiversity #macros #technology #apps",1504215937364504576,"en","999",0,TRUE
11865,"Kate_Nancarrow","Inclusive schooling that supports neurodiverse needs can be hard to find #anxiety #ASD #autism #PDA ",1504345274445049856,"en","999",1,TRUE
11961,"chrisdancy","@meshachthomas @juvoni I created this for @KeepProductive so I could talk about productivity through the lens of  #Neurodiversity and values.

Two other favorites are my time domains. ",1504383071591747584,"en","999",0,TRUE
